Country,City,Region,CostOfLiving_1 Bedroom Apartment Outside of City Centre,CostOfLiving_1 Bedroom Apartment in City Centre,CostOfLiving_3 Bedroom Apartment Outside of City Centre,CostOfLiving_3 Bedroom Apartment in City Centre,"CostOfLiving_Annual Mortgage Interest Rate (20-Year Fixed, in %)",CostOfLiving_Apples (1 lb),CostOfLiving_Average Monthly Net Salary (After Tax),CostOfLiving_Bananas (1 lb),"CostOfLiving_Basic Utilities for 915 Square Feet Apartment (Electricity, Heating, Cooling, Water, Garbage)",CostOfLiving_Beef Round or Equivalent Back Leg Red Meat (1 lb),CostOfLiving_Bottle of Wine (Mid-Range),CostOfLiving_Bottled Water (12 oz),CostOfLiving_Bottled Water (50 oz),"CostOfLiving_Broadband Internet (Unlimited Data, 60 Mbps or Higher)",CostOfLiving_Cappuccino (Regular Size),CostOfLiving_Chicken Fillets (1 lb),"CostOfLiving_Cigarettes (Pack of 20, Marlboro)",CostOfLiving_Cinema Ticket (International Release),CostOfLiving_Combo Meal at McDonald's (or Equivalent Fast-Food Meal),CostOfLiving_Domestic Beer (16.9 oz Bottle),CostOfLiving_Domestic Draft Beer (1 Pint),"CostOfLiving_Eggs (12, Large Size)",CostOfLiving_Fresh White Bread (1 lb Loaf),CostOfLiving_Gasoline (1 Liter),CostOfLiving_Imported Beer (12 oz Small Bottle),"CostOfLiving_International Primary School, Annual Tuition per Child",CostOfLiving_Jeans (Levi's 501 or Similar),CostOfLiving_Lettuce (1 Head),CostOfLiving_Local Cheese (1 lb),CostOfLiving_Meal at an Inexpensive Restaurant,"CostOfLiving_Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",CostOfLiving_Men's Leather Business Shoes,"CostOfLiving_Milk (Regular, 1 Liter)","CostOfLiving_Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",CostOfLiving_Monthly Fitness Club Membership,CostOfLiving_Monthly Public Transport Pass (Regular Price),CostOfLiving_Nike Running Shoes (Mid-Range),CostOfLiving_One-Way Ticket (Local Transport),CostOfLiving_Onions (1 lb),CostOfLiving_Oranges (1 lb),CostOfLiving_Potatoes (1 lb),CostOfLiving_Price per Square Feet to Buy Apartment Outside of Centre,CostOfLiving_Price per Square Feet to Buy Apartment in City Centre,"CostOfLiving_Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","CostOfLiving_Soft Drink (Coca-Cola or Pepsi, 12 oz Small Bottle)",CostOfLiving_Summer Dress in a Chain Store (e.g. Zara or H&M),CostOfLiving_Taxi 1 Hour Waiting (Standard Tariff),CostOfLiving_Taxi 1 mile (Standard Tariff),CostOfLiving_Taxi Start (Standard Tariff),"CostOfLiving_Tennis Court Rental (1 Hour, Weekend)",CostOfLiving_Tomatoes (1 lb),CostOfLiving_Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),CostOfLiving_Volkswagen Golf 1.5 (or Equivalent New Compact Car),CostOfLiving_White Rice (1 lb),SpeedTestMobile_Rank,SpeedTestMobile_Rank Delta,SpeedTestMobile_Mbps,LPI2023_LPI Score,LPI2023_LPI Grouped Rank,LPI2023_Customs Score,LPI2023_Customs Grouped Rank,LPI2023_Infrastructure Score,LPI2023_Infrastructure Grouped Rank,LPI2023_International Shipments Score,LPI2023_International Shipments Grouped Rank,LPI2023_Logistics Competence and Quality Score,LPI2023_Logistics Competence and Quality Grouped Rank,LPI2023_Timeliness Score,LPI2023_Timeliness Grouped Rank,LPI2023_Tracking and Tracing Score,LPI2023_Tracking and Tracing Grouped Rank,SpeedTestBroadband_Rank,SpeedTestBroadband_Rank Change,SpeedTestBroadband_Mbps,GPI_rank,GPI_score ,CostOfLiving_1 Bedroom Apartment in City Centre_Scaled,GPI_score _Scaled,LPI2023_LPI Score_Scaled,Rent_Inverted,Safety_Inverted,Arbitrage_Score,US_Tax_Treaty,Digital_Nomad_Visa
Lithuania,Vilnius,Eastern Europe & The Balkans,670.68,853.76,1010.47,1468.02,4.84,0.76,1880.58,0.73,266.87,5.66,9.31,2.31,0.9,18.71,3.6,3.42,6.23,9.31,8.15,1.71,5.82,3.14,1.41,1.7,3.985,10776.82,85.65,1.77,5.25,13.97,75.67,141.55,1.5,13.69,42.83,44.24,104.58,1.16,0.42,0.92,0.41,315.55,567.1,616.71,2.05,43.43,14.67,2.06,3.2,35.01,1.48,30718.86,30849.83,1.2,36.0,-1,129.17,3.4,38.0,3.2,37.0,3.5,39.0,3.4,26.0,3.6,33.0,3.6,35.0,3.1,62.0,32.0,-2,205.6,22.0,1.558,0.0930601079223692,-0.3673239436619718,0.1600000000000001,-0.0930601079223692,0.3673239436619718,0.0682407455634467,Yes,Yes
Romania,Bucharest,Eastern Europe & The Balkans,444.22,663.29,787.06,1206.31,1.64,0.66,1449.06,0.78,184.07,5.62,7.08,1.97,0.91,10.66,3.32,3.42,6.85,9.13,7.99,1.26,3.42,3.74,1.18,1.71,2.64,16136.18,87.17,0.93,4.45,13.7,68.49,108.89,1.64,7.72,53.87,22.72,94.18,0.91,0.41,0.77,0.41,211.21,378.34,739.6,2.34,42.5,6.85,1.1,0.68,25.28,1.11,29000.55,29636.16,0.75,57.0,-2,80.45,3.2,51.0,2.7,65.0,2.9,59.0,3.4,26.0,3.3,46.0,3.6,35.0,3.5,37.0,16.0,-1,268.82,38.0,1.721,-0.2246520045704374,0.0,-0.1599999999999994,0.2246520045704374,-0.0,0.057860801828175,Yes,Yes
Hungary,Budapest,Eastern Europe & The Balkans,641.82,835.63,1192.82,1579.86,0.02,1.0,1662.77,0.95,153.53,6.41,5.45,1.69,0.58,22.63,3.16,3.23,7.57,9.39,9.09,1.24,3.15,3.57,1.57,1.78,2.605,14780.47,102.8,1.57,4.97,12.12,66.64,120.25,1.21,25.68,72.1,27.18,112.07,1.51,0.54,1.04,0.48,368.63,515.13,474.53,1.86,43.48,19.99,2.14,3.33,18.38,1.47,35575.46,27714.68,1.09,55.0,-1,88.64,3.2,51.0,2.7,65.0,3.1,52.0,3.4,26.0,3.1,57.0,3.6,35.0,3.4,41.0,22.0,-1,243.9,17.0,1.5,0.0628184919225026,-0.4980281690140846,-0.1599999999999994,-0.0628184919225026,0.4980281690140846,0.042478237033816,Yes,Yes
Croatia,Zagreb,Western & Southern Europe,670.08,889.41,1104.67,1546.29,3.71,0.88,1945.1,0.83,216.66,6.09,8.15,2.54,1.3,37.87,2.5,5.29,5.82,8.73,8.15,1.82,3.49,4.05,1.73,1.73,3.56,12181.68,101.63,1.3,5.94,13.97,69.85,113.71,1.39,21.93,57.4,57.04,99.16,0.62,0.62,0.97,0.66,320.23,501.04,480.09,2.88,40.5,10.36,1.87,2.33,18.25,1.37,26593.29,33760.19,1.37,34.0,-1,135.5,3.3,43.0,3.0,47.0,3.0,55.0,3.6,14.0,3.4,42.0,3.2,65.0,3.4,41.0,53.0,4,132.79,19.0,1.519,0.1525258338128955,-0.4552112676056341,0.0,-0.1525258338128955,0.4552112676056341,0.0300319199959686,Yes,Yes
Mauritius,Port Louis,Middle East & Africa,275.31,479.32,604.26,761.33,0.14,0.97,614.15,0.96,45.0,5.12,8.47,0.56,0.8,30.88,2.42,2.22,6.35,6.35,7.41,1.66,3.18,2.52,0.69,1.35,3.545,7682.48,82.06,0.71,3.79,5.82,38.12,75.18,1.58,10.17,25.41,21.18,113.83,0.93,0.44,0.64,0.44,98.9,383.24,169.42,1.03,68.83,15.88,5.11,4.24,3.88,1.1,30055.46,34413.38,0.51,,,,2.5,97.0,2.4,90.0,2.5,80.0,1.9,138.0,2.5,103.0,3.1,76.0,2.9,72.0,100.0,4,57.32,26.0,1.586,-0.5315218388503851,-0.304225352112676,-1.2799999999999998,0.5315218388503851,0.304225352112676,0.0174538059626892,Yes,Yes
Philippines,Manila,Asia-Pacific,276.96,544.72,727.44,1851.76,0.13,1.48,484.22,0.87,123.38,3.53,10.26,0.88,0.63,25.96,2.72,2.26,3.25,7.01,4.28,1.5,1.62,2.26,1.21,1.08,2.6950000000000003,12024.75,51.57,2.14,3.91,5.99,25.65,53.72,1.91,14.81,43.66,13.68,78.81,0.51,1.3,1.46,1.09,246.87,416.47,509.62,1.44,31.34,2.05,0.4,0.77,5.7,1.02,21603.93,22917.74,0.46,74.0,-1,54.53,3.3,43.0,2.8,59.0,3.2,47.0,3.1,47.0,3.3,46.0,3.9,21.0,3.3,49.0,61.0,2,103.91,105.0,2.148,-0.4224318396010042,0.9622535211267604,0.0,0.4224318396010042,-0.9622535211267604,-0.0234779683849503,Yes,Yes
Chile,Santiago,Latin America,434.72,569.22,851.6,1078.21,0.01,0.96,833.42,0.74,147.41,5.13,6.63,1.29,1.24,22.96,3.29,3.21,5.85,7.73,8.57,1.7,3.87,4.29,1.53,1.43,3.735,10684.79,55.27,1.41,4.9,11.04,49.69,81.94,1.27,14.42,34.58,44.17,76.95,0.88,0.78,0.92,0.69,270.84,253.75,480.74,1.78,30.03,12.59,1.42,0.44,14.73,0.87,25429.88,19513.22,1.01,56.0,-5,86.29,3.0,61.0,3.0,47.0,2.8,63.0,2.7,85.0,3.1,57.0,3.2,65.0,3.0,65.0,6.0,-2,337.86,62.0,1.899,-0.3815647909525359,0.40112676056338,-0.4799999999999997,0.3815647909525359,-0.40112676056338,-0.0235994357316615,Yes,Yes
Uruguay,Montevideo,Latin America,528.8,656.1,863.26,1097.6,0.15,1.5,1137.31,1.26,211.45,5.12,10.37,1.92,1.89,51.33,4.61,5.31,5.7,11.92,13.02,2.54,4.66,5.41,2.68,2.0,3.54,10643.05,101.78,1.49,6.58,18.79,62.19,128.91,1.32,19.96,58.03,77.74,122.58,1.55,1.07,0.76,1.05,215.76,333.2,563.26,2.48,53.25,10.96,0.59,1.94,22.03,1.82,37968.99,29084.29,0.82,,,,3.0,61.0,2.9,56.0,2.7,68.0,2.7,85.0,3.1,57.0,3.2,65.0,3.3,49.0,38.0,1,184.18,48.0,1.784,-0.2366452323166613,0.1419718309859153,-0.4799999999999997,0.2366452323166613,-0.1419718309859153,-0.0297362732705184,Yes,Yes
Slovenia,Ljubljana,Eastern Europe & The Balkans,870.58,1059.9,1504.66,2108.68,4.39,0.95,1911.16,0.79,321.84,5.86,6.98,2.11,0.94,43.67,2.71,4.73,6.29,9.31,9.78,1.55,3.49,3.97,1.98,1.77,3.39,14246.22,108.94,1.8,6.65,16.88,69.85,141.22,1.53,19.29,52.88,43.07,108.79,1.51,0.75,1.02,0.63,455.74,595.15,613.86,3.18,41.64,19.77,2.04,2.27,20.29,1.59,25317.56,30440.05,1.41,29.0,-2,144.65,3.3,43.0,3.4,24.0,3.6,30.0,3.4,26.0,3.3,46.0,3.3,59.0,3.0,65.0,45.0,8,159.52,9.0,1.409,0.4369104511221759,-0.7030985915492958,0.0,-0.4369104511221759,0.7030985915492958,-0.0341444621390112,Yes,Yes
Montenegro,Podgorica,Eastern Europe & The Balkans,500.77,672.13,908.81,1232.15,6.38,0.72,1172.65,0.77,117.42,5.74,5.82,1.48,0.79,33.9,2.25,3.97,4.19,5.82,9.31,1.09,3.2,3.29,0.95,1.71,2.665,7797.44,86.05,1.92,4.17,11.64,46.57,110.1,1.36,17.66,47.95,34.92,96.4,1.05,0.5,0.78,0.45,209.72,277.04,346.11,2.64,48.68,11.64,1.32,0.76,12.61,1.12,27507.07,31727.59,1.11,,,,2.8,73.0,2.6,74.0,2.5,80.0,2.8,75.0,2.8,76.0,3.2,65.0,3.2,54.0,55.0,-1,131.02,34.0,1.685,-0.2099065062009492,-0.0811267605633803,-0.8,0.2099065062009492,0.0811267605633803,-0.0598120454069442,Yes,Yes
Croatia,Split,Western & Southern Europe,775.48,1070.43,1384.4,2040.58,4.11,0.99,1664.98,0.91,233.6,7.03,9.31,3.02,1.3,43.13,3.07,3.93,6.0,9.31,11.06,1.76,5.24,3.98,1.92,1.73,3.775,13213.04,85.56,1.37,6.75,17.46,81.49,95.46,1.36,23.19,63.4,40.75,113.24,1.16,0.55,0.91,0.68,452.84,646.72,641.12,3.77,35.33,30.66,3.48,3.86,14.69,1.22,25991.85,33760.19,1.94,34.0,-1,135.5,3.3,43.0,3.0,47.0,3.0,55.0,3.6,14.0,3.4,42.0,3.2,65.0,3.4,41.0,53.0,4,132.79,19.0,1.519,0.4544749418270074,-0.4552112676056341,0.0,-0.4544749418270074,0.4552112676056341,-0.0907477232096761,Yes,Yes
Cyprus,Nicosia,Western & Southern Europe,674.52,782.75,1263.43,1664.04,5.27,1.46,1762.79,0.95,217.38,6.26,8.47,0.94,1.11,34.71,3.74,4.31,5.82,11.64,9.02,1.91,4.66,4.71,1.93,1.63,4.37,9482.98,98.79,0.98,6.39,17.46,69.85,121.56,2.01,22.44,75.23,58.21,104.28,2.79,0.72,1.05,0.8,215.53,293.5,526.41,1.69,56.93,52.39,3.26,6.29,21.47,1.55,33876.6,34225.84,1.35,48.0,-4,107.31,3.2,51.0,2.9,56.0,2.8,63.0,3.1,47.0,3.2,53.0,3.5,46.0,3.4,41.0,49.0,1,155.71,68.0,1.933,-0.0253876114461097,0.4777464788732393,-0.1599999999999994,0.0253876114461097,-0.4777464788732393,-0.1173942511962038,Yes,Yes
Portugal,Porto,Western & Southern Europe,971.04,1259.32,1663.48,2239.52,4.31,0.99,1537.93,0.66,140.94,6.88,5.82,1.44,0.79,39.24,2.2,3.36,6.46,9.31,9.31,1.27,3.49,3.54,1.46,2.0,3.51,10708.18,113.31,1.64,5.67,13.39,58.21,109.15,1.12,18.25,47.87,46.57,97.56,1.8,0.91,0.83,0.77,355.58,475.04,575.62,2.32,36.46,17.46,1.41,4.07,17.24,1.15,39303.31,34974.39,0.72,27.0,-4,148.26,3.4,38.0,3.2,37.0,3.6,30.0,3.1,47.0,3.6,33.0,3.6,35.0,3.2,54.0,21.0,-1,245.44,7.0,1.371,0.7695515466926881,-0.7887323943661972,0.1600000000000001,-0.7695515466926881,0.7887323943661972,-0.1180741398038358,Yes,Yes
Italy,Florence,Western & Southern Europe,943.08,1259.22,1607.21,2344.3,3.62,1.35,2041.19,1.19,209.86,12.47,7.71,1.53,0.64,33.89,2.21,5.16,7.26,11.64,13.97,2.03,6.98,5.54,2.03,2.05,4.955,18584.66,91.26,1.71,10.65,23.28,93.13,142.41,1.87,11.73,75.47,45.05,106.6,1.98,0.8,1.51,1.0,370.7,577.73,814.9,3.45,40.07,32.13,2.06,3.84,24.16,1.49,36670.55,37757.86,1.47,53.0,-3,91.21,3.7,19.0,3.4,24.0,3.8,19.0,3.4,26.0,3.8,20.0,3.9,21.0,3.9,20.0,58.0,2,113.34,33.0,1.662,0.7693847424124904,-0.1329577464788735,0.6400000000000006,-0.7693847424124904,0.1329577464788735,-0.1531623476692214,Yes,Yes
Poland,Warsaw,Eastern Europe & The Balkans,913.78,1200.0,1546.56,2096.07,1.93,0.65,2178.24,0.83,327.01,7.42,8.17,2.18,0.73,18.34,4.43,3.31,6.27,9.54,9.54,1.44,4.9,3.89,1.32,1.66,3.51,16005.19,104.56,1.59,4.72,10.9,57.22,116.91,1.13,9.81,50.16,29.97,97.85,1.14,0.53,0.97,0.47,370.94,586.39,601.11,2.38,47.74,13.62,2.19,2.72,29.07,1.51,32197.47,32668.94,0.85,47.0,-2,109.68,3.6,26.0,3.4,24.0,3.5,39.0,3.3,38.0,3.6,33.0,3.9,21.0,3.8,23.0,28.0,-,214.57,36.0,1.713,0.6706032476793355,-0.0180281690140845,0.4800000000000004,-0.6706032476793355,0.0180281690140845,-0.1686356652689172,Yes,Yes
